Interval=	0.001 s
ExcelDateTime=	4.4558451867772063e+004	12/28/2021 10:50:41.375506
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.0	476.56
0.001	475.47
0.002	475.94
0.003	475.94
0.004	475.94
0.005	476.25
0.006	475.63
0.007	475.78
0.008	475.63
0.009	476.09
0.01	476.41
0.011	475.63
0.012	476.09
0.013	476.41
0.014	476.41
0.015	448.28
0.016	448.75
0.017	449.06
0.018	448.13
0.019	448.91
0.02	447.97
0.021	449.22
0.022	448.91
0.023	448.28
0.024	449.22
0.025	448.75
0.026	448.75
0.027	448.75
0.028	448.75
0.029	449.22
0.03	448.59
0.031	448.75
0.032	448.91
0.033	448.59
0.034	448.59
0.035	426.41
0.036	426.56
0.037	427.03
0.038	426.88
0.039	426.09
0.04	427.19
0.041	426.41
0.042	425.47
0.043	426.88
0.044	426.72
0.045	426.88
0.046	426.09
0.047	426.72
0.048	426.72
0.049	426.41
0.05	426.56
0.051	426.25
0.052	426.72
0.053	426.56
0.054	427.03
0.055	409.22
0.056	408.75
0.057	409.06
0.058	409.06
0.059	409.06
0.06	409.06
0.061	408.59
0.062	408.59
0.063	409.69
0.064	409.06
0.065	409.22
0.066	408.91
0.067	409.06
0.068	409.38
0.069	409.53
0.07	408.59
0.071	409.06
0.072	408.44
0.073	408.91
0.074	409.06
0.075	395.78
0.076	395.00
0.077	395.63
0.078	395.47
0.079	394.84
0.08	395.16
0.081	395.00
0.082	395.31
0.083	395.78
0.084	395.16
0.085	395.78
0.086	395.16
0.087	395.47
0.088	395.78
0.089	395.16
0.09	395.78
0.091	394.84
0.092	395.63
0.093	395.63
0.094	395.31
0.095	380.78
0.096	381.09
0.097	380.78
0.098	380.47
0.099	380.94
0.1	381.25
0.101	380.31
0.102	381.25
0.103	381.09
0.104	381.25
0.105	380.94
0.106	381.09
0.107	381.09
0.108	380.47
0.109	380.94
0.11	380.16
0.111	381.09
0.112	380.63
0.113	380.94
0.114	380.78
0.115	361.41
0.116	361.72
0.117	361.56
0.118	361.72
0.119	362.19
0.12	361.72
0.121	362.19
0.122	361.56
0.123	361.88
0.124	361.25
0.125	362.19
0.126	361.72
0.127	361.56
0.128	361.72
0.129	361.72
0.13	362.03
0.131	361.56
0.132	362.03
0.133	361.88
0.134	361.88
0.135	343.59
0.136	343.75
0.137	343.59
0.138	343.59
0.139	344.06
0.14	343.75
0.141	344.06
0.142	344.22
0.143	343.91
0.144	344.38
0.145	344.06
0.146	344.22
0.147	343.59
0.148	343.91
0.149	344.38
0.15	343.59
0.151	343.75
0.152	343.91
0.153	343.91
0.154	344.06
0.155	335.31
0.156	336.09
0.157	335.16
0.158	335.94
0.159	335.94
0.16	335.63
0.161	335.63
0.162	335.47
0.163	336.41
0.164	335.63
0.165	335.94
0.166	335.78
0.167	336.09
0.168	335.94
0.169	335.63
0.17	335.78
0.171	336.25
0.172	335.94
0.173	335.78
0.174	335.78
0.175	337.97
0.176	337.66
0.177	337.97
0.178	338.28
0.179	337.81
0.18	337.66
0.181	337.50
0.182	338.44
0.183	337.34
0.184	338.13
0.185	337.97
0.186	337.50
0.187	338.44
0.188	337.50
0.189	338.28
0.19	337.97
0.191	337.81
0.192	337.81
0.193	337.66
0.194	337.97
0.195	341.72
0.196	341.88
0.197	341.88
0.198	341.72
0.199	342.19
0.2	341.72
0.201	341.88
0.202	341.88
0.203	342.03
0.204	342.50
0.205	341.25
0.206	341.56
0.207	341.72
0.208	341.72
0.209	342.34
0.21	342.50
0.211	342.34
0.212	341.72
0.213	342.03
0.214	341.72
0.215	344.69
0.216	344.53
0.217	344.53
0.218	344.53
0.219	344.53
0.22	345.00
0.221	344.84
0.222	345.00
0.223	345.47
0.224	344.84
0.225	345.00
0.226	344.38
0.227	344.69
0.228	344.84
0.229	344.53
0.23	345.16
0.231	344.53
0.232	345.31
0.233	344.22
0.234	344.84
0.235	346.88
0.236	347.03
0.237	346.88
0.238	346.56
0.239	347.34
0.24	346.88
0.241	346.72
0.242	348.13
0.243	346.41
0.244	347.03
0.245	346.56
0.246	347.19
0.247	346.72
0.248	347.34
0.249	347.03
0.25	346.88
0.251	347.19
0.252	346.88
0.253	347.03
0.254	346.41
0.255	346.25
0.256	346.25
0.257	346.25
0.258	346.56
0.259	346.09
0.26	346.09
0.261	346.41
0.262	346.25
0.263	346.56
0.264	346.25
0.265	346.72
0.266	346.56
0.267	346.25
0.268	346.56
0.269	345.94
0.27	346.25
0.271	346.25
0.272	346.41
0.273	346.09
0.274	346.41
0.275	346.09
0.276	346.56
0.277	346.72
0.278	345.94
0.279	346.41
0.28	346.56
0.281	346.56
0.282	346.25
0.283	346.25
0.284	346.56
0.285	346.25
0.286	346.72
0.287	347.19
0.288	346.56
0.289	346.56
0.29	346.41
0.291	346.72
0.292	346.72
0.293	346.41
0.294	346.56
0.295	355.78
0.296	355.94
0.297	356.09
0.298	355.63
0.299	356.09
0.3	355.31
0.301	355.63
0.302	355.78
0.303	355.78
0.304	355.94
0.305	355.63
0.306	355.94
0.307	355.16
0.308	355.78
0.309	355.47
0.31	355.63
0.311	356.09
0.312	355.47
0.313	356.09
0.314	355.00
0.315	381.41
0.316	380.78
0.317	380.94
0.318	381.25
0.319	380.94
0.32	381.25
0.321	381.09
0.322	380.47
0.323	380.78
0.324	381.09
0.325	380.94
0.326	380.63
0.327	381.09
0.328	381.41
0.329	381.09
0.33	381.25
0.331	381.09
0.332	381.41
0.333	380.47
0.334	381.25
0.335	413.28
0.336	413.75
0.337	413.59
0.338	413.28
0.339	414.06
0.34	413.44
0.341	413.91
0.342	413.28
0.343	413.91
0.344	413.91
0.345	413.91
0.346	414.22
0.347	413.59
0.348	414.06
0.349	413.44
0.35	413.59
0.351	414.06
0.352	413.91
0.353	413.59
0.354	413.75
0.355	435.16
0.356	435.16
0.357	435.31
0.358	436.09
0.359	435.16
0.36	435.16
0.361	435.63
0.362	435.78
0.363	435.47
0.364	435.47
0.365	435.47
0.366	435.31
0.367	436.09
0.368	435.16
0.369	435.16
0.37	435.63
0.371	435.16
0.372	435.47
0.373	435.47
0.374	435.47
0.375	442.50
0.376	442.81
0.377	442.81
0.378	442.66
0.379	442.50
0.38	442.19
0.381	442.97
0.382	442.66
0.383	443.13
0.384	443.28
0.385	442.50
0.386	442.81
0.387	443.13
0.388	442.81
0.389	442.97
0.39	442.34
0.391	442.50
0.392	442.50
0.393	442.81
0.394	442.50
0.395	444.22
0.396	444.69
0.397	444.22
0.398	444.38
0.399	444.38
0.4	444.22
0.401	444.38
0.402	444.38
0.403	444.06
0.404	444.38
0.405	443.91
0.406	444.22
0.407	444.22
0.408	444.53
0.409	444.38
0.41	445.00
0.411	443.59
0.412	444.38
0.413	444.22
0.414	444.06
0.415	442.50
0.416	442.34
0.417	442.81
0.418	442.19
0.419	442.66
0.42	442.50
0.421	442.66
0.422	442.81
0.423	442.50
0.424	442.81
0.425	442.66
0.426	442.50
0.427	442.66
0.428	442.19
0.429	442.34
0.43	442.03
0.431	442.50
0.432	442.66
0.433	442.34
0.434	442.97
0.435	439.53
0.436	439.84
0.437	439.84
0.438	439.53
0.439	439.84
0.44	439.69
0.441	439.53
0.442	438.44
0.443	439.69
0.444	439.38
0.445	439.69
0.446	439.69
0.447	439.06
0.448	440.16
0.449	439.69
0.45	439.69
0.451	439.84
0.452	439.84
0.453	440.00
0.454	439.53
0.455	437.50
0.456	437.66
0.457	437.19
0.458	437.66
0.459	437.50
0.46	437.97
0.461	437.50
0.462	437.66
0.463	437.19
0.464	437.97
0.465	437.66
0.466	437.66
0.467	437.97
0.468	437.97
0.469	437.50
0.47	437.66
0.471	437.66
0.472	437.50
0.473	437.34
0.474	437.66
0.475	438.91
0.476	439.38
0.477	438.44
0.478	439.06
0.479	438.59
0.48	438.59
0.481	438.75
0.482	439.22
0.483	438.44
0.484	438.44
0.485	438.59
0.486	438.44
0.487	438.44
0.488	438.59
0.489	438.91
0.49	438.91
0.491	438.91
0.492	438.44
0.493	438.44
0.494	438.75
0.495	437.81
0.496	437.81
0.497	437.81
0.498	438.28
0.499	437.97
0.5	438.28
0.501	437.81
0.502	439.06
0.503	437.19
0.504	438.28
0.505	438.44
0.506	438.13
0.507	438.59
0.508	437.66
0.509	438.13
0.51	438.13
0.511	438.59
0.512	438.44
0.513	437.66
0.514	438.75
0.515	425.31
0.516	426.09
0.517	425.78
0.518	425.78
0.519	425.94
0.52	425.47
0.521	426.41
0.522	425.94
0.523	425.63
0.524	426.09
0.525	426.56
0.526	426.25
0.527	425.63
0.528	425.63
0.529	425.63
0.53	426.09
0.531	425.63
