Interval=	0.001 s
ExcelDateTime=	4.4558456458398046e+004	12/28/2021 10:57:18.005592
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.0	591.56
0.001	610.31
0.002	610.94
0.003	610.16
0.004	610.16
0.005	610.63
0.006	610.63
0.007	609.06
0.008	610.00
0.009	610.63
0.01	610.00
0.011	610.47
0.012	610.16
0.013	609.84
0.014	610.78
0.015	610.00
0.016	609.84
0.017	610.00
0.018	610.00
0.019	609.69
0.02	610.63
0.021	629.53
0.022	629.53
0.023	629.22
0.024	629.53
0.025	629.69
0.026	629.22
0.027	629.38
0.028	629.84
0.029	629.22
0.03	629.38
0.031	629.53
0.032	629.06
0.033	629.38
0.034	629.38
0.035	629.22
0.036	629.38
0.037	628.91
0.038	628.91
0.039	629.53
0.04	629.22
0.041	653.28
0.042	653.59
0.043	653.75
0.044	653.59
0.045	653.75
0.046	654.06
0.047	654.22
0.048	654.06
0.049	653.91
0.05	653.75
0.051	653.75
0.052	653.59
0.053	654.22
0.054	653.75
0.055	653.44
0.056	653.91
0.057	653.59
0.058	654.06
0.059	653.75
0.06	653.75
0.061	680.16
0.062	680.00
0.063	680.31
0.064	680.31
0.065	680.16
0.066	680.94
0.067	680.16
0.068	680.16
0.069	680.00
0.07	679.84
0.071	680.31
0.072	679.69
0.073	679.84
0.074	680.47
0.075	680.00
0.076	680.47
0.077	680.16
0.078	680.47
0.079	679.84
0.08	680.00
0.081	712.97
0.082	713.75
0.083	712.50
0.084	712.97
0.085	712.97
0.086	713.13
0.087	711.72
0.088	712.97
0.089	713.13
0.09	712.66
0.091	712.97
0.092	712.50
0.093	712.50
0.094	712.66
0.095	712.81
0.096	712.81
0.097	712.81
0.098	712.81
0.099	713.13
0.1	764.53
0.101	765.47
0.102	764.84
0.103	765.47
0.104	765.47
0.105	765.63
0.106	765.00
0.107	765.00
0.108	765.63
0.109	765.16
0.11	765.47
0.111	765.94
0.112	765.78
0.113	765.31
0.114	765.31
0.115	765.16
0.116	765.16
0.117	765.00
0.118	765.47
0.119	765.16
0.12	765.16
0.121	817.81
0.122	817.50
0.123	817.81
0.124	817.81
0.125	817.81
0.126	817.81
0.127	818.13
0.128	817.81
0.129	818.13
0.13	817.97
0.131	818.13
0.132	818.13
0.133	817.97
0.134	817.66
0.135	818.44
0.136	817.66
0.137	817.50
0.138	818.13
0.139	817.66
0.14	818.28
0.141	853.44
0.142	853.91
0.143	853.75
0.144	853.13
0.145	853.44
0.146	853.59
0.147	853.44
0.148	853.28
0.149	853.13
0.15	853.28
0.151	853.44
0.152	853.28
0.153	853.44
0.154	853.91
0.155	854.22
0.156	853.44
0.157	853.91
0.158	853.13
0.159	853.13
0.16	853.28
0.161	887.66
0.162	887.50
0.163	887.97
0.164	887.97
0.165	887.97
0.166	887.66
0.167	887.97
0.168	887.97
0.169	887.81
0.17	887.66
0.171	887.66
0.172	888.13
0.173	887.97
0.174	887.97
0.175	887.81
0.176	887.34
0.177	887.81
0.178	888.13
0.179	886.88
0.18	887.66
0.181	918.13
0.182	918.13
0.183	917.81
0.184	918.44
