Interval=	0.001000 s
ExcelDateTime=	4.4558444603201424e+004	12/28/2021 10:40:13.716603
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.0	-8.44
0.001	-8.44
0.002	-7.81
0.003	-8.44
0.004	-8.75
0.005	-8.44
0.006	-8.59
0.007	-8.44
0.008	-8.28
0.009	-9.06
0.01	-7.34
0.011	-8.44
0.012	-7.97
0.013	-8.59
0.014	-8.28
0.015	-7.97
0.016	-8.28
0.017	-8.75
0.018	-8.44
0.019	-8.28
0.02	-8.44
0.021	-8.28
0.022	-8.44
0.023	-7.97
0.024	-8.59
0.025	-8.13
0.026	-8.28
0.027	-8.13
0.028	-8.44
0.029	-7.97
0.03	-7.97
0.031	-8.28
0.032	-9.69
0.033	-8.91
0.034	-9.22
0.035	-9.53
0.036	-8.91
0.037	-9.69
0.038	-9.22
0.039	-9.38
0.04	-8.75
0.041	-9.38
0.042	-9.38
0.043	-9.06
0.044	-8.75
0.045	-9.53
0.046	-8.91
0.047	-8.75
0.048	-9.53
0.049	-9.38
0.05	-8.59
0.051	-9.53
0.052	-9.38
0.053	-9.22
0.054	-9.22
0.055	-9.53
0.056	-9.69
0.057	-9.53
0.058	-10.00
0.059	-9.53
0.06	-9.84
0.061	-9.69
0.062	-9.53
0.063	-9.38
0.064	-9.53
0.065	-9.22
0.066	-9.69
0.067	-9.53
0.068	-9.38
0.069	-9.84
0.07	-9.06
0.071	-10.00
0.072	-9.22
0.073	-9.69
0.074	-9.06
0.075	-9.84
0.076	-9.69
0.077	-9.38
0.078	-9.22
0.079	-9.38
0.08	-9.53
0.081	-9.38
0.082	-9.38
0.083	-9.69
0.084	-9.38
0.085	-9.06
0.086	-9.53
0.087	-9.38
0.088	-10.00
0.089	-9.53
0.09	-9.53
0.091	-9.22
0.092	-9.06
0.093	-9.38
0.094	-8.91
0.095	-8.91
0.096	-9.06
0.097	-9.22
0.098	-8.59
0.099	-9.22
0.1	-8.91
0.101	-8.91
0.102	-9.22
0.103	-9.22
0.104	-8.91
0.105	-8.59
0.106	-9.22
0.107	-9.38
0.108	-9.06
0.109	-8.91
0.11	-9.22
0.111	-9.06
0.112	-8.59
0.113	-7.81
0.114	-8.28
0.115	-8.28
0.116	-8.13
0.117	-7.97
0.118	-7.81
0.119	-8.59
0.12	-7.81
0.121	-8.28
0.122	-8.59
0.123	-8.44
0.124	-7.97
0.125	-8.75
0.126	-8.44
0.127	-8.75
0.128	-8.28
0.129	-7.81
0.13	-8.13
0.131	-8.13
0.132	-7.97
0.133	-7.66
0.134	-7.97
0.135	-7.81
0.136	-7.97
0.137	-7.97
0.138	-8.44
0.139	-8.28
0.14	-7.81
0.141	-8.13
0.142	-7.50
0.143	-7.66
0.144	-7.97
0.145	-7.34
0.146	-7.97
0.147	-7.81
0.148	-7.81
0.149	-7.66
0.15	-8.13
0.151	-8.13
0.152	-7.03
0.153	-7.66
0.154	-7.34
0.155	-7.66
0.156	-6.72
0.157	-7.97
0.158	-7.81
0.159	-7.34
0.16	-7.19
0.161	-7.50
0.162	-7.34
0.163	-7.50
0.164	-6.88
0.165	-7.34
0.166	-7.34
0.167	-7.66
0.168	-7.34
0.169	-7.81
0.17	-7.50
0.171	-6.09
0.172	-6.88
0.173	-5.94
0.174	-6.25
0.175	-6.56
0.176	-6.25
0.177	-6.88
0.178	-6.41
0.179	-6.88
0.18	-6.25
0.181	-6.41
0.182	-6.09
0.183	-6.09
0.184	-6.25
0.185	-6.56
0.186	-6.56
0.187	-6.72
0.188	-6.56
0.189	-6.88
0.19	-6.72
0.191	-6.41
0.192	-6.88
0.193	-6.88
0.194	-6.09
0.195	-6.72
0.196	-6.25
0.197	-6.56
0.198	-7.34
0.199	-6.88
0.2	-6.56
0.201	-6.09
0.202	-5.94
0.203	-6.56
0.204	-6.41
0.205	-6.72
0.206	-6.56
0.207	-6.41
0.208	-6.41
0.209	-6.72
