Interval=	0.001 s
ExcelDateTime=	4.4558443160273120e+004	12/28/2021 10:38:09.047598
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.0	613.75
0.001	613.75
0.002	613.44
0.003	614.22
0.004	613.91
0.005	613.75
0.006	614.06
0.007	613.91
0.008	610.63
0.009	610.47
0.01	610.16
0.011	610.78
0.012	610.63
0.013	609.84
0.014	610.78
0.015	610.63
0.016	610.47
0.017	610.47
0.018	611.25
0.019	610.78
0.02	610.47
0.021	610.47
0.022	610.63
0.023	610.47
0.024	610.63
0.025	610.78
0.026	610.63
0.027	610.47
0.028	611.09
0.029	610.63
0.03	610.31
0.031	610.47
0.032	610.94
0.033	610.31
0.034	610.78
0.035	610.78
0.036	611.09
0.037	610.94
0.038	610.47
0.039	610.94
0.04	610.78
0.041	610.63
0.042	610.94
0.043	611.25
0.044	610.78
0.045	610.78
0.046	610.63
0.047	610.94
0.048	611.88
0.049	612.19
0.05	612.50
0.051	612.34
0.052	612.34
0.053	612.66
0.054	612.50
0.055	611.88
0.056	612.34
0.057	611.72
0.058	612.19
0.059	612.19
0.06	612.19
0.061	612.81
0.062	612.34
0.063	612.34
0.064	612.81
0.065	612.34
0.066	612.66
0.067	612.19
0.068	613.28
0.069	612.66
0.07	612.66
0.071	612.81
0.072	613.59
0.073	613.13
0.074	613.13
0.075	612.50
0.076	613.13
0.077	613.13
0.078	612.97
0.079	613.28
0.08	612.97
0.081	613.28
0.082	612.66
0.083	612.66
0.084	613.13
0.085	612.97
0.086	613.13
0.087	612.66
0.088	615.63
0.089	615.47
0.09	615.63
0.091	615.31
0.092	615.63
0.093	615.63
0.094	615.63
0.095	615.16
0.096	616.09
0.097	615.63
0.098	615.31
0.099	615.47
0.1	615.78
0.101	615.78
0.102	615.00
0.103	615.31
0.104	615.31
0.105	615.78
0.106	615.47
0.107	615.31
0.108	616.88
0.109	617.03
0.11	617.03
0.111	617.03
0.112	616.88
0.113	617.50
0.114	617.34
0.115	617.34
0.116	617.19
0.117	616.88
0.118	616.88
0.119	617.34
0.12	617.50
0.121	617.19
0.122	616.56
0.123	617.66
0.124	617.81
0.125	616.88
0.126	617.03
0.127	617.66
0.128	615.94
0.129	615.78
0.13	616.25
0.131	616.41
0.132	615.94
0.133	615.94
0.134	615.78
0.135	615.78
0.136	615.63
0.137	615.63
0.138	616.09
0.139	615.94
0.14	616.09
0.141	615.94
0.142	615.63
0.143	615.94
0.144	615.78
0.145	616.25
0.146	615.78
0.147	615.47
0.148	615.47
0.149	615.31
0.15	615.00
0.151	615.47
0.152	615.16
0.153	615.00
0.154	615.00
0.155	615.31
0.156	615.00
0.157	615.00
